image_id,label,variety,age
100330.jpg,bacterial_leaf_blight,ADT45,45
100365.jpg,bacterial_leaf_blight,ADT45,45
100382.jpg,bacterial_leaf_blight,ADT45,45
100632.jpg,bacterial_leaf_blight,ADT45,45
101918.jpg,bacterial_leaf_blight,ADT45,45
102353.jpg,bacterial_leaf_blight,ADT45,45
102848.jpg,bacterial_leaf_blight,ADT45,45
103051.jpg,bacterial_leaf_blight,ADT45,45
103702.jpg,bacterial_leaf_blight,ADT45,45
103920.jpg,bacterial_leaf_blight,ADT45,45
103172.jpg,normal,RR,70
103946.jpg,normal,RR,70
105693.jpg,normal,RR,70
106152.jpg,normal,RR,70
106636.jpg,normal,RR,70
107337.jpg,normal,RR,70
107402.jpg,normal,RR,70
107593.jpg,normal,RR,70
108388.jpg,normal,RR,70
108623.jpg,normal,RR,70
108888.jpg,normal,RR,70
100024.jpg,tungro,ADT45,45
100129.jpg,tungro,ADT45,45
100204.jpg,tungro,ADT45,45
100207.jpg,tungro,ADT45,45
100238.jpg,tungro,ADT45,45
100339.jpg,tungro,ADT45,45
100464.jpg,tungro,ADT45,45
100468.jpg,tungro,ADT45,45
100488.jpg,tungro,ADT45,45
107305.jpg,bacterial_leaf_streak,Zonal,70
107350.jpg,bacterial_leaf_streak,Zonal,70
107382.jpg,bacterial_leaf_streak,Zonal,70
107409.jpg,bacterial_leaf_streak,Zonal,70
107479.jpg,bacterial_leaf_streak,Zonal,70
107634.jpg,bacterial_leaf_streak,Zonal,70
107644.jpg,bacterial_leaf_streak,Zonal,70
107734.jpg,bacterial_leaf_streak,Zonal,70
107736.jpg,bacterial_leaf_streak,Zonal,70
107825.jpg,bacterial_leaf_streak,Zonal,70
107828.jpg,bacterial_leaf_streak,Zonal,70
102565.jpg,blast,ADT45,77
102630.jpg,blast,ADT45,77
103404.jpg,blast,ADT45,77
103855.jpg,blast,ADT45,77
103997.jpg,blast,ADT45,77
104126.jpg,blast,ADT45,77
106267.jpg,blast,ADT45,77
100184.jpg,blast,AndraPonni,45
100430.jpg,blast,AndraPonni,45
100442.jpg,blast,AndraPonni,45
100572.jpg,blast,AndraPonni,45
100726.jpg,blast,AndraPonni,45
100767.jpg,blast,AndraPonni,45
100801.jpg,blast,AndraPonni,45
