age,label_encoded,label,image_id
60,8,normal,109473.jpg
72,5,dead_heart,108632.jpg
45,3,blast,106808.jpg
60,8,normal,103109.jpg
60,8,normal,108717.jpg
70,9,tungro,100357.jpg
70,3,blast,102298.jpg
50,7,hispa,106450.jpg
70,3,blast,100877.jpg
65,0,bacterial_leaf_blight,101394.jpg
45,9,tungro,104738.jpg
75,3,blast,109742.jpg
55,3,blast,100012.jpg
70,7,hispa,110379.jpg
55,4,brown_spot,106671.jpg
66,4,brown_spot,108319.jpg
60,6,downy_mildew,105000.jpg
70,6,downy_mildew,101721.jpg
68,2,bacterial_panicle_blight,102839.jpg
60,8,normal,107808.jpg
75,3,blast,105803.jpg
60,9,tungro,105282.jpg
70,0,bacterial_leaf_blight,103107.jpg
70,7,hispa,106912.jpg
65,7,hispa,103461.jpg
75,5,dead_heart,106553.jpg
60,7,hispa,100103.jpg
70,4,brown_spot,107264.jpg
65,8,normal,102150.jpg
75,4,brown_spot,107189.jpg
60,8,normal,105736.jpg
75,3,blast,108481.jpg
70,3,blast,107728.jpg
72,0,bacterial_leaf_blight,108725.jpg
60,9,tungro,107217.jpg
55,0,bacterial_leaf_blight,108422.jpg
50,8,normal,101041.jpg
60,6,downy_mildew,105540.jpg
60,0,bacterial_leaf_blight,103056.jpg
75,5,dead_heart,101736.jpg
72,9,tungro,108389.jpg
67,5,dead_heart,109343.jpg
75,3,blast,100626.jpg
45,4,brown_spot,107511.jpg
75,5,dead_heart,104009.jpg
75,3,blast,102443.jpg
70,5,dead_heart,102454.jpg
70,7,hispa,109118.jpg
55,8,normal,108607.jpg
65,7,hispa,106601.jpg
65,5,dead_heart,106173.jpg
75,3,blast,109762.jpg
50,3,blast,102168.jpg
70,8,normal,101564.jpg
50,8,normal,110275.jpg
60,8,normal,106385.jpg
55,6,downy_mildew,106285.jpg
70,3,blast,101902.jpg
50,1,bacterial_leaf_streak,104590.jpg
57,7,hispa,104973.jpg
60,7,hispa,100297.jpg
60,6,downy_mildew,105864.jpg
70,7,hispa,103912.jpg
67,5,dead_heart,109414.jpg
70,9,tungro,100287.jpg
65,4,brown_spot,104913.jpg
70,7,hispa,104280.jpg
72,9,tungro,107073.jpg
45,6,downy_mildew,108028.jpg
75,4,brown_spot,109949.jpg
70,8,normal,107741.jpg
75,5,dead_heart,103196.jpg
55,7,hispa,109740.jpg
70,7,hispa,108716.jpg
60,6,downy_mildew,103842.jpg
70,5,dead_heart,108146.jpg
65,3,blast,106495.jpg
60,7,hispa,100429.jpg
67,8,normal,103132.jpg
50,7,hispa,100291.jpg
60,0,bacterial_leaf_blight,110022.jpg
75,5,dead_heart,109309.jpg
55,0,bacterial_leaf_blight,108884.jpg
50,3,blast,105898.jpg
60,8,normal,101018.jpg
70,4,brown_spot,109284.jpg
75,3,blast,105226.jpg
70,7,hispa,102818.jpg
65,7,hispa,108747.jpg
75,4,brown_spot,108214.jpg
70,5,dead_heart,102230.jpg
70,3,blast,102713.jpg
55,0,bacterial_leaf_blight,101888.jpg
45,9,tungro,102730.jpg
60,7,hispa,106972.jpg
45,3,blast,103998.jpg
45,7,hispa,109283.jpg
60,6,downy_mildew,107151.jpg
50,7,hispa,102217.jpg
75,5,dead_heart,103001.jpg
67,5,dead_heart,105955.jpg
65,7,hispa,103792.jpg
65,7,hispa,100237.jpg
72,9,tungro,101242.jpg
60,8,normal,102948.jpg
65,8,normal,106814.jpg
50,0,bacterial_leaf_blight,100541.jpg
60,8,normal,108459.jpg
50,3,blast,100231.jpg
60,9,tungro,100660.jpg
57,9,tungro,106129.jpg
50,3,blast,103749.jpg
60,3,blast,103868.jpg
70,5,dead_heart,109735.jpg
75,3,blast,100851.jpg
55,3,blast,102276.jpg
65,2,bacterial_panicle_blight,104041.jpg
50,9,tungro,110199.jpg
55,3,blast,102990.jpg
65,8,normal,100794.jpg
70,8,normal,101107.jpg
60,8,normal,109866.jpg
70,4,brown_spot,104700.jpg
70,4,brown_spot,108119.jpg
75,4,brown_spot,105777.jpg
70,4,brown_spot,100854.jpg
75,5,dead_heart,104299.jpg
70,5,dead_heart,107484.jpg
60,8,normal,101367.jpg
60,8,normal,104218.jpg
68,7,hispa,107757.jpg
50,6,downy_mildew,108191.jpg
65,7,hispa,102138.jpg
60,8,normal,105317.jpg
50,5,dead_heart,101752.jpg
75,2,bacterial_panicle_blight,106480.jpg
50,3,blast,100984.jpg
50,8,normal,109781.jpg
45,9,tungro,106803.jpg
75,3,blast,106569.jpg
65,7,hispa,109654.jpg
72,0,bacterial_leaf_blight,102835.jpg
55,0,bacterial_leaf_blight,102166.jpg
55,4,brown_spot,109817.jpg
60,8,normal,104669.jpg
73,2,bacterial_panicle_blight,100254.jpg
45,3,blast,105078.jpg
50,8,normal,100186.jpg
60,8,normal,108657.jpg
67,8,normal,102020.jpg
72,0,bacterial_leaf_blight,100126.jpg
50,8,normal,109848.jpg
75,5,dead_heart,106310.jpg
60,9,tungro,106699.jpg
55,8,normal,103082.jpg
70,9,tungro,106970.jpg
68,4,brown_spot,105609.jpg
55,4,brown_spot,100343.jpg
50,7,hispa,105312.jpg
65,7,hispa,107164.jpg
60,9,tungro,104759.jpg
55,6,downy_mildew,106908.jpg
45,9,tungro,100339.jpg
55,0,bacterial_leaf_blight,106934.jpg
75,3,blast,100778.jpg
70,8,normal,107386.jpg
55,0,bacterial_leaf_blight,101169.jpg
70,3,blast,103865.jpg
45,9,tungro,109181.jpg
50,7,hispa,105710.jpg
70,3,blast,105936.jpg
70,6,downy_mildew,109137.jpg
50,3,blast,101285.jpg
70,5,dead_heart,101901.jpg
75,3,blast,109551.jpg
70,6,downy_mildew,107300.jpg
65,7,hispa,106813.jpg
70,9,tungro,102734.jpg
70,6,downy_mildew,110066.jpg
70,4,brown_spot,104671.jpg
75,3,blast,104651.jpg
