image_id,label,variety,age
200001.jpg,dead_heart,ADT45,69.30999755859375
200002.jpg,normal,ADT45,67.41000366210938
200003.jpg,normal,ADT45,66.9800033569336
200004.jpg,dead_heart,Zonal,68.8499984741211
200005.jpg,blast,AndraPonni,35.88999938964844
200006.jpg,normal,ADT45,63.52000045776367
200007.jpg,normal,ADT45,68.08999633789062
200008.jpg,dead_heart,ADT45,65.66999816894531
200009.jpg,normal,AndraPonni,68.88999938964844
200010.jpg,normal,ADT45,64.36000061035156
200011.jpg,dead_heart,ADT45,69.4000015258789
200012.jpg,normal,KarnatakaPonni,53.970001220703125
200013.jpg,normal,Ponni,70.04000091552734
200014.jpg,normal,IR20,69.36000061035156
200015.jpg,normal,ADT45,57.310001373291016
200016.jpg,normal,ADT45,69.0999984741211
200017.jpg,dead_heart,ADT45,67.12999725341797
200018.jpg,normal,ADT45,59.52000045776367
200019.jpg,normal,ADT45,68.93000030517578
200020.jpg,dead_heart,ADT45,69.26000213623047
200021.jpg,dead_heart,ADT45,81.69999694824219
200022.jpg,normal,ADT45,67.62000274658203
200023.jpg,normal,IR20,64.86000061035156
200024.jpg,normal,ADT45,69.66000366210938
200025.jpg,normal,ADT45,75.79000091552734
200026.jpg,dead_heart,ADT45,55.630001068115234
200027.jpg,normal,Ponni,53.45000076293945
200028.jpg,normal,ADT45,55.61000061035156
200029.jpg,dead_heart,ADT45,72.08999633789062
200030.jpg,normal,KarnatakaPonni,55.34000015258789
200031.jpg,normal,AtchayaPonni,66.66999816894531
200032.jpg,dead_heart,ADT45,68.97000122070312
200033.jpg,normal,ADT45,42.04999923706055
200034.jpg,dead_heart,KarnatakaPonni,73.95999908447266
200035.jpg,normal,ADT45,68.87999725341797
200036.jpg,normal,ADT45,60.779998779296875
200037.jpg,dead_heart,ADT45,69.33999633789062
200038.jpg,normal,ADT45,43.880001068115234
200039.jpg,normal,ADT45,69.25
200040.jpg,normal,ADT45,69.37000274658203
200041.jpg,dead_heart,ADT45,42.81999969482422
200042.jpg,normal,KarnatakaPonni,62.540000915527344
200043.jpg,normal,Onthanel,63.900001525878906
200044.jpg,hispa,AtchayaPonni,68.98999786376953
200045.jpg,normal,ADT45,69.66999816894531
200046.jpg,normal,ADT45,65.3499984741211
200047.jpg,normal,ADT45,65.69999694824219
200048.jpg,normal,KarnatakaPonni,44.279998779296875
200049.jpg,dead_heart,ADT45,79.3499984741211
200050.jpg,normal,Onthanel,47.45000076293945
200051.jpg,normal,ADT45,69.4000015258789
200052.jpg,normal,ADT45,69.62000274658203
200053.jpg,normal,Onthanel,62.18000030517578
200054.jpg,normal,ADT45,50.29999923706055
200055.jpg,normal,ADT45,62.380001068115234
200056.jpg,dead_heart,ADT45,70.5199966430664
200057.jpg,normal,AtchayaPonni,64.05999755859375
200058.jpg,normal,ADT45,69.56999969482422
200059.jpg,normal,ADT45,68.91000366210938
200060.jpg,normal,KarnatakaPonni,68.66999816894531
200061.jpg,normal,ADT45,68.58999633789062
200062.jpg,dead_heart,ADT45,64.41000366210938
200063.jpg,dead_heart,ADT45,58.650001525878906
200064.jpg,normal,ADT45,62.349998474121094
200065.jpg,dead_heart,ADT45,69.29000091552734
200066.jpg,dead_heart,ADT45,64.5199966430664
200067.jpg,normal,ADT45,62.33000183105469
200068.jpg,normal,ADT45,69.12000274658203
200069.jpg,dead_heart,ADT45,69.1500015258789
200070.jpg,dead_heart,ADT45,70.62999725341797
200071.jpg,normal,ADT45,69.47000122070312
200072.jpg,normal,ADT45,69.63999938964844
200073.jpg,normal,Zonal,60.189998626708984
200074.jpg,dead_heart,KarnatakaPonni,55.52000045776367
200075.jpg,normal,ADT45,68.83999633789062
200076.jpg,dead_heart,ADT45,70.4800033569336
200077.jpg,normal,ADT45,68.58000183105469
200078.jpg,normal,ADT45,69.45999908447266
200079.jpg,normal,ADT45,69.20999908447266
200080.jpg,normal,ADT45,69.5199966430664
200081.jpg,dead_heart,ADT45,69.45999908447266
200082.jpg,normal,ADT45,69.0199966430664
200083.jpg,dead_heart,ADT45,69.41999816894531
200084.jpg,normal,ADT45,68.37999725341797
200085.jpg,normal,KarnatakaPonni,58.650001525878906
200086.jpg,normal,ADT45,69.43000030517578
200087.jpg,dead_heart,ADT45,73.51000213623047
200088.jpg,normal,ADT45,62.2599983215332
200089.jpg,normal,ADT45,70.30000305175781
200090.jpg,normal,KarnatakaPonni,75.33000183105469
200091.jpg,normal,ADT45,62.9900016784668
200092.jpg,normal,ADT45,59.380001068115234
200093.jpg,normal,ADT45,68.61000061035156
200094.jpg,normal,ADT45,63.970001220703125
200095.jpg,normal,ADT45,45.709999084472656
200096.jpg,normal,Onthanel,69.36000061035156
200097.jpg,normal,ADT45,62.099998474121094
200098.jpg,normal,ADT45,64.6500015258789
200099.jpg,dead_heart,AndraPonni,69.4800033569336
200100.jpg,normal,Ponni,59.65999984741211
200101.jpg,dead_heart,AndraPonni,68.8499984741211
200102.jpg,normal,AtchayaPonni,66.86000061035156
200103.jpg,normal,ADT45,69.41999816894531
200104.jpg,dead_heart,ADT45,63.25
200105.jpg,normal,ADT45,69.33000183105469
200106.jpg,dead_heart,AndraPonni,50.310001373291016
200107.jpg,normal,ADT45,69.43000030517578
200108.jpg,normal,ADT45,64.01000213623047
200109.jpg,normal,ADT45,66.75
200110.jpg,normal,KarnatakaPonni,72.41000366210938
200111.jpg,normal,ADT45,69.27999877929688
200112.jpg,normal,KarnatakaPonni,69.94000244140625
200113.jpg,normal,ADT45,64.16999816894531
200114.jpg,normal,ADT45,63.91999816894531
200115.jpg,dead_heart,AndraPonni,69.1500015258789
200116.jpg,normal,ADT45,66.1500015258789
200117.jpg,normal,ADT45,63.209999084472656
200118.jpg,normal,ADT45,69.30999755859375
200119.jpg,dead_heart,ADT45,54.349998474121094
200120.jpg,normal,ADT45,68.87000274658203
200121.jpg,normal,ADT45,68.4800033569336
200122.jpg,normal,KarnatakaPonni,78.22000122070312
200123.jpg,normal,ADT45,69.62000274658203
200124.jpg,normal,ADT45,69.38999938964844
200125.jpg,normal,KarnatakaPonni,79.87999725341797
200126.jpg,dead_heart,ADT45,69.2300033569336
200127.jpg,normal,KarnatakaPonni,71.87999725341797
200128.jpg,normal,ADT45,66.12000274658203
200129.jpg,normal,KarnatakaPonni,78.91000366210938
200130.jpg,dead_heart,ADT45,73.36000061035156
200131.jpg,normal,KarnatakaPonni,81.1500015258789
200132.jpg,normal,AtchayaPonni,61.65999984741211
200133.jpg,dead_heart,ADT45,68.7300033569336
200134.jpg,normal,ADT45,68.4800033569336
200135.jpg,normal,ADT45,73.01000213623047
200136.jpg,dead_heart,ADT45,68.55000305175781
200137.jpg,dead_heart,KarnatakaPonni,69.52999877929688
200138.jpg,normal,KarnatakaPonni,77.26000213623047
200139.jpg,normal,KarnatakaPonni,80.86000061035156
200140.jpg,normal,ADT45,64.91000366210938
200141.jpg,dead_heart,ADT45,69.61000061035156
200142.jpg,dead_heart,ADT45,34.91999816894531
200143.jpg,normal,KarnatakaPonni,50.5099983215332
200144.jpg,dead_heart,ADT45,69.68000030517578
200145.jpg,normal,KarnatakaPonni,71.55000305175781
200146.jpg,normal,ADT45,63.400001525878906
200147.jpg,normal,ADT45,55.7599983215332
200148.jpg,normal,KarnatakaPonni,77.94999694824219
200149.jpg,dead_heart,ADT45,69.5
200150.jpg,dead_heart,ADT45,68.87000274658203
200151.jpg,dead_heart,Zonal,68.98999786376953
200152.jpg,dead_heart,ADT45,69.5999984741211
200153.jpg,normal,ADT45,65.7699966430664
200154.jpg,dead_heart,Zonal,66.37999725341797
200155.jpg,normal,ADT45,64.22000122070312
200156.jpg,dead_heart,Zonal,69.44999694824219
200157.jpg,normal,ADT45,64.22000122070312
200158.jpg,normal,ADT45,58.40999984741211
200159.jpg,normal,ADT45,65.2699966430664
200160.jpg,normal,ADT45,61.869998931884766
200161.jpg,normal,ADT45,58.959999084472656
200162.jpg,dead_heart,Zonal,69.33000183105469
200163.jpg,dead_heart,AndraPonni,65.43000030517578
200164.jpg,hispa,Zonal,70.2699966430664
200165.jpg,dead_heart,AndraPonni,68.66999816894531
200166.jpg,normal,ADT45,69.36000061035156
200167.jpg,normal,KarnatakaPonni,75.7699966430664
200168.jpg,normal,ADT45,66.1500015258789
200169.jpg,normal,ADT45,61.779998779296875
200170.jpg,normal,ADT45,71.83999633789062
200171.jpg,dead_heart,ADT45,69.29000091552734
200172.jpg,blast,AndraPonni,56.86000061035156
200173.jpg,normal,ADT45,69.29000091552734
200174.jpg,normal,ADT45,69.30999755859375
200175.jpg,normal,IR20,69.6500015258789
200176.jpg,dead_heart,ADT45,67.54000091552734
200177.jpg,normal,Ponni,51.72999954223633
200178.jpg,normal,ADT45,69.23999786376953
200179.jpg,normal,ADT45,62.689998626708984
200180.jpg,dead_heart,ADT45,69.19000244140625
200181.jpg,dead_heart,ADT45,69.12999725341797
200182.jpg,dead_heart,ADT45,69.36000061035156
200183.jpg,normal,ADT45,62.599998474121094
200184.jpg,normal,ADT45,69.27999877929688
200185.jpg,normal,ADT45,66.62000274658203
