image_id,label,variety,age,label_encoded
106152.jpg,normal,RR,70,3
107402.jpg,normal,RR,70,3
102848.jpg,bacterial_leaf_blight,ADT45,45,0
107644.jpg,bacterial_leaf_streak,Zonal,70,1
107409.jpg,bacterial_leaf_streak,Zonal,70,1
100442.jpg,blast,AndraPonni,45,2
107736.jpg,bacterial_leaf_streak,Zonal,70,1
103920.jpg,bacterial_leaf_blight,ADT45,45,0
100767.jpg,blast,AndraPonni,45,2
106636.jpg,normal,RR,70,3
103051.jpg,bacterial_leaf_blight,ADT45,45,0
107350.jpg,bacterial_leaf_streak,Zonal,70,1
108623.jpg,normal,RR,70,3
100339.jpg,tungro,ADT45,45,4
107828.jpg,bacterial_leaf_streak,Zonal,70,1
101918.jpg,bacterial_leaf_blight,ADT45,45,0
100207.jpg,tungro,ADT45,45,4
100488.jpg,tungro,ADT45,45,4
107825.jpg,bacterial_leaf_streak,Zonal,70,1
106267.jpg,blast,ADT45,77,2
103946.jpg,normal,RR,70,3
107382.jpg,bacterial_leaf_streak,Zonal,70,1
100129.jpg,tungro,ADT45,45,4
100632.jpg,bacterial_leaf_blight,ADT45,45,0
107593.jpg,normal,RR,70,3
107634.jpg,bacterial_leaf_streak,Zonal,70,1
100464.jpg,tungro,ADT45,45,4
100572.jpg,blast,AndraPonni,45,2
100430.jpg,blast,AndraPonni,45,2
100382.jpg,bacterial_leaf_blight,ADT45,45,0
105693.jpg,normal,RR,70,3
103702.jpg,bacterial_leaf_blight,ADT45,45,0
102565.jpg,blast,ADT45,77,2
102630.jpg,blast,ADT45,77,2
107337.jpg,normal,RR,70,3
102353.jpg,bacterial_leaf_blight,ADT45,45,0
103855.jpg,blast,ADT45,77,2
107479.jpg,bacterial_leaf_streak,Zonal,70,1
100204.jpg,tungro,ADT45,45,4
100184.jpg,blast,AndraPonni,45,2
104126.jpg,blast,ADT45,77,2
108388.jpg,normal,RR,70,3
103997.jpg,blast,ADT45,77,2
100024.jpg,tungro,ADT45,45,4
